WKT,nombre,descripción
"POINT (-77.139554 -12.0505766)",Punto 1 Tren,
"POINT (-77.1266794 -12.0377336)",Punto 2 Tren,
"POINT (-77.0997286 -12.0394964)",Punto 3 Tren,
"POINT (-77.1061175 -12.0215278)",Punto 4 Tren,
"POINT (-77.0826953 -12.0062836)",Punto 5 Tren,
"POINT (-77.0687422 -11.9622097)",Punto 6 Tren,
"POINT (-77.0742285 -12.0349181)",Punto 7 Tren,
"POINT (-77.0532858 -12.036597)",Punto 8 Tren,
"POINT (-77.0352613 -12.0401226)",Punto 9 Tren,
"POINT (-77.0219874 -12.043133)",Punto 10 Tren,
"POINT (-77.0123744 -12.0360818)",Punto 11 Tren,
"POINT (-76.9974221 -12.028741)",Punto 12 Tren,
"POINT (-76.9895257 -12.031763)",Punto 13 Tren,
"POINT (-76.9471488 -12.01964)",Punto 14 Tren,
"POINT (-76.8370746 -11.992607)",Punto 15 Tren,
"POINT (-76.9993299 -12.0034059)",Punto 16 Tren,
"POINT (-77.0050451 -11.9822939)",Punto 17 Tren,
"POINT (-76.9699092 -11.9349609)",Punto 18 Tren,
"POINT (-77.1000842 -12.075156)",Punto 19 Tren,
"POINT (-77.0931016 -12.0776424)",Punto 20 Tren,
"POINT (-77.0813197 -12.0782349)",Punto 21 Tren,
"POINT (-77.0632753 -12.0863286)",Punto 22 Tren,
"POINT (-77.0504225 -12.0944467)",Punto 23 Tren,
"POINT (-76.9809682 -12.0848982)",Punto 24 Tren,
"POINT (-76.9696424 -12.0830347)",Punto 25 Tren,
"POINT (-76.9408033 -12.0638982)",Punto 26 Tren,
"POINT (-76.9444082 -12.0565957)",Punto 27 Tren,
"POINT (-76.9379709 -12.0440887)",Punto 28 Tren,
"POINT (-76.9773878 -12.1094248)",Punto 29 Tren,
"POINT (-76.9787611 -12.1309077)",Punto 30 Tren,
"POINT (-76.9275758 -12.1616628)",Punto 31 Tren,
"POINT (-76.9195077 -12.1930411)",Punto 32 Tren,
"POINT (-76.8058326 -12.276488)",Punto 33 Tren,
"POINT (-77.1277995 -12.0591429)",Punto 34 Tren,
"POINT (-77.0980162 -12.0534351)",Punto 35 Tren,
"POINT (-77.0437495 -12.0366048)",Punto 36 Tren,
"POINT (-77.0227628 -12.0906336)",Punto 37 Tren,
"POINT (-76.955292 -12.1475722)",Punto 38 Tren,
"LINESTRING (-77.139554 -12.0505766, -77.1266794 -12.0377336, -77.0997286 -12.0394964, -77.0742285 -12.0349181, -77.0532858 -12.036597, -77.0437495 -12.0366048, -77.0352613 -12.0401226, -77.0219874 -12.043133, -77.0123744 -12.0360818, -76.9974221 -12.028741, -76.9895257 -12.031763, -76.9471488 -12.01964, -76.8370746 -11.992607)",Line-2,
"LINESTRING (-77.139554 -12.0505766, -77.1277995 -12.0591429, -77.1000842 -12.075156, -77.0931016 -12.0776424, -77.0813197 -12.0782349, -77.0632753 -12.0863286, -77.0504225 -12.0944467, -77.0227628 -12.0906336, -76.9809682 -12.0848982, -76.9696424 -12.0830347, -76.9408033 -12.0638982, -76.9444082 -12.0565957, -76.9379709 -12.0440887, -76.9471488 -12.01964)",Line-3,
"LINESTRING (-77.0687422 -11.9622097, -77.0826953 -12.0062836, -77.1061175 -12.0215278, -77.0997286 -12.0394964, -77.0980162 -12.0534351, -77.1000842 -12.075156)",Line-4,
"POINT (-76.9871358 -12.0641405)",Punto 39 Tren,
"POINT (-76.8939302 -12.2410447)",Punto 40 Tren,
"LINESTRING (-76.9699092 -11.9349609, -77.0050451 -11.9822939, -76.9993299 -12.0034059, -76.9974221 -12.028741, -76.9871358 -12.0641405, -76.9809682 -12.0848982, -76.9773878 -12.1094248, -76.9787611 -12.1309077, -76.955292 -12.1475722, -76.9275758 -12.1616628, -76.9195077 -12.1930411, -76.8939302 -12.2410447)",Línea 65,
